,cafe_names,cafe_places,cafe_ranks,cafe_adresses,cafe_images1,ca_images2
346,リントンズ 阪神梅田本店, 東梅田駅 114m / カフェ・喫茶(紅茶専門店)、カフェ・喫茶(カフェ)            ,3.30,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  1F,"['https://tblg.k-img.com/restaurant/images/Rvw/161203/320x320_square_161203170.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173745/320x320_square_752cb1aa5d8b363f6ceb7a91977ab637.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161202/320x320_square_161202837.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/163667/150x150_square_4acf9ba27d1732d5c7cd9e1ea3326a70.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163667/150x150_square_23e5db07e7c236b28cbaacd0902c5d02.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161203/150x150_square_161203170.jpg']"
347,喫茶 水鯨, 阿波座駅 356m / カフェ・喫茶(喫茶店)            ,3.30,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  1F,"['https://tblg.k-img.com/restaurant/images/Rvw/177656/320x320_square_578adea4ff7016cd6716034ca63e922f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177656/320x320_square_bca51afb71182fa47aa4a4c92bede1e4.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177656/320x320_square_53eb8f468f33293cb0a88c2e9e08aa13.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/158736/150x150_square_158736968.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/158736/150x150_square_158736970.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/158736/150x150_square_158736972.jpg']"
348,ル・プチメック 阪神梅田本店, 東梅田駅 71m / カフェ・喫茶(カフェ)、パン            ,3.30,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B2F 阪神バル横丁,"['https://tblg.k-img.com/restaurant/images/Rvw/176695/320x320_square_a2d093af11c630e94b77d17f04759f45.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176695/320x320_square_530b5e77aaa2ca8130eb4426be9c0bf7.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/174734/320x320_square_1b093f9733a725ed1bde095ada446ce1.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/172272/150x150_square_7f536a11fc1f0ecbb5883c8a41db9737.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172272/150x150_square_1142bbb9645b03a4565a938e3777890a.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172272/150x150_square_1222854dc28eb377a30b04aa8c4e0df7.jpg']"
349,喫茶サンチョ, 新大阪駅 7m / カフェ・喫茶(カフェ)、サンドイッチ、洋食            ,3.29,大阪府大阪市淀川区西中島5-16-1 JR東海新大阪駅  1F味の小路,"['https://tblg.k-img.com/restaurant/images/Rvw/176450/320x320_square_bd039d1cdce61c6d24259b816e96702d.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173228/320x320_square_d2c13649c4cc9496fdd29f8c15be89bc.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/149405/320x320_square_149405908.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/159520/150x150_square_159520435.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159520/150x150_square_159520438.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159520/150x150_square_159520442.jpg']"
350,YES!BURGER, 本町駅 452m / カフェ・喫茶(カフェ)、ハンバーガー            ,3.29,大阪府大阪市西区靱本町1-13-17 大越ビル 1F,"['https://tblg.k-img.com/restaurant/images/Rvw/177771/320x320_square_bc00ad5e18cbd00cbbb9c51c2a56e875.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156007/320x320_square_156007650.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156007/320x320_square_156007645.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/156007/150x150_square_156007650.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156007/150x150_square_156007645.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156007/150x150_square_156007654.jpg']"
351,相合餅, 日本橋駅 210m / カフェ・喫茶(カフェ)、甘味処、和菓子            ,3.29,大阪府大阪市中央区千日前1-7-3 ,"['https://tblg.k-img.com/restaurant/images/Rvw/162973/320x320_square_3aa24a0b2c482c399da518d292ffa1e1.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162973/320x320_square_6f14816e60a03f6b0654817c9ee4a64c.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/120631/320x320_square_120631823.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/162973/150x150_square_281a8bc7b6887d57d415e9f8b5b1ced9.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162973/150x150_square_ffe82a00356e7fffbca28595ee63c836.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162973/150x150_square_cf42253dd70f779c4c7970722b21b04c.jpg']"
352,トクリ61, 西田辺駅 190m / カフェ・喫茶(カフェ)、カレーライス            ,3.29,大阪府大阪市阿倍野区阪南町6-5-2 ,"['https://tblg.k-img.com/restaurant/images/Rvw/125018/320x320_square_125018453.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118817/320x320_square_118817787.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118817/320x320_square_118817793.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/28649/150x150_square_28649462.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/28649/150x150_square_28649463.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/28649/150x150_square_28649450.jpg']"
353,ディーン&デルーカ 大阪店, 大阪駅 198m / カフェ・喫茶(カフェ)、パン・サンドイッチ（その他）、ビストロ            ,3.28,大阪府大阪市北区大深町4-1 グランフロント大阪うめきた広場 B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/18643/320x320_square_18643925.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/18643/320x320_square_18643924.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176200/320x320_square_c04e0fb601ee935364880545ad185176.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/102840/150x150_square_102840742.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/102840/150x150_square_102840738.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/102840/150x150_square_102840722.jpg']"
354,ビクトリア カフェ, 難波（南海）駅 217m / カフェ・喫茶(カフェ)            ,3.28,大阪府大阪市中央区難波5丁目 ＮＡＭＢＡなんなん1号,"['https://tblg.k-img.com/restaurant/images/Rvw/177479/320x320_square_06f03b8cbaa9ea95c63d23067df144e6.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177479/320x320_square_8bf070a1a2b8e6b3d86e0e523c125ef2.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/145375/320x320_square_145375289.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/64889/150x150_square_64889549.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/64889/150x150_square_64889550.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/64889/150x150_square_64889551.jpg']"
355,カフェチャオプレッソ 上本町駅店, 大阪上本町駅 39m / カフェ・喫茶(カフェ)            ,3.28,大阪府大阪市中央区難波5丁目 ＮＡＭＢＡなんなん1号,"['https://tblg.k-img.com/restaurant/images/Rvw/159146/320x320_square_159146683.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159146/320x320_square_159146684.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/108942/320x320_square_108942535.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/117590/150x150_square_117590221.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/117590/150x150_square_117590222.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/125785/150x150_square_125785285.jpg']"
356,カフェ・ド・カンパーニュ, 大阪梅田（阪急）駅 260m / カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)、ケーキ            ,3.28,大阪府大阪市北区角田町梅田地下街2-8 ホワイティうめだ,"['https://tblg.k-img.com/restaurant/images/Rvw/162953/320x320_square_b292fb1f1af83977892a8c5b5afe1453.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162953/320x320_square_6b8b7133243e41bd871d047e1f7670e9.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/91339/320x320_square_91339872.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/75945/150x150_square_75945804.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/75945/150x150_square_75945843.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/75945/150x150_square_75945914.jpg']"
357,宇治園 茶の彩 阪急三番街店, 大阪梅田（阪急）駅 112m / カフェ・喫茶(日本茶専門店)、カフェ・喫茶(カフェ)、ケーキ            ,3.28,大阪府大阪市北区芝田1-1-3 阪急三番街  南館 B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/170073/320x320_square_65968658be301a42953b5c819a07bc1f.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159944/320x320_square_159944681.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/142504/320x320_square_142504124.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/34801/150x150_square_34801195.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34801/150x150_square_34801197.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34801/150x150_square_34801211.jpg']"
358,ケナリィー, 大阪市平野区 / カフェ・喫茶(カフェ)、ケーキ            ,3.28,大阪府大阪市平野区平野南4-1-12 ,"['https://tblg.k-img.com/restaurant/images/Rvw/156921/320x320_square_156921329.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/153283/320x320_square_153283349.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/113779/320x320_square_113779412.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/90414/150x150_square_90414101.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/90414/150x150_square_90414090.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/90414/150x150_square_90414080.jpg']"
359,キーフェル ホワイティうめだ店, 梅田駅 190m / カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)、パフェ            ,3.28,大阪府大阪市北区角田町梅田地下街2 ホワイティうめだ,"['https://tblg.k-img.com/restaurant/images/Rvw/164931/320x320_square_71c530161726b97356ca9da955ed7486.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/164931/320x320_square_9621b2201d42af068934d0a382a93d05.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/169982/320x320_square_18a4242f8ecc9f60ce504d2492a7f7cf.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/68485/150x150_square_68485098.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/68485/150x150_square_68485099.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/63709/150x150_square_63709925.jpg']"
360,喫茶シャトウ, 玉造（ＪＲ）駅 341m / カフェ・喫茶(喫茶店)            ,3.28,大阪府大阪市東成区玉津1-1-35 ,"['https://tblg.k-img.com/restaurant/images/Rvw/168381/320x320_square_1d071430e06b69d3112e9758929dfb19.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168381/320x320_square_7e94f43256ae355c0b133fb660037d07.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/168382/320x320_square_16601e989c2b8bfc635ce47fd312a979.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/148629/150x150_square_148629645.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/148629/150x150_square_148629649.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/148629/150x150_square_148629652.jpg']"
361,BASEMENT coffee&sandwiches, 心斎橋駅 267m / カフェ・喫茶(コーヒー専門店)、サンドイッチ、スイーツ（その他）            ,3.28,大阪府大阪市中央区西心斎橋1-6-14 ビッグステップ STEP B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/50545/320x320_square_50545863.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/50545/320x320_square_50545780.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/50545/320x320_square_50545677.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/155334/150x150_square_155334788.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155334/150x150_square_155334656.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155334/150x150_square_155334473.jpg']"
362,The Lobby, 梅田駅 198m / カフェ・喫茶(カフェ)、カフェ・喫茶(カフェ・喫茶（その他）)、カフェ・喫茶(喫茶店)            ,3.28,大阪府大阪市北区角田町7-10 阪急百貨店メンズ館  3F,"['https://tblg.k-img.com/restaurant/images/Rvw/44896/320x320_square_44896082.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/44896/320x320_square_44896085.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/44896/320x320_square_44896091.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/1631/150x150_square_1631701.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/1631/150x150_square_1631702.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/1631/150x150_square_1631703.jpg']"
363,ザ カエンズ カフェ, 大阪上本町駅 152m / カフェ・喫茶(カフェ)、フルーツパーラー            ,3.28,大阪府大阪市天王寺区上本町6-1-55 近鉄百貨店上本町店 B2F,"['https://tblg.k-img.com/restaurant/images/Rvw/162326/320x320_square_162326037.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/162326/320x320_square_162326038.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/129508/320x320_square_129508891.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/110970/150x150_square_110970150.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/110970/150x150_square_110970171.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/110970/150x150_square_110970178.jpg']"
364,玄米&やさいカフェ 玄三庵 梅田エスト店, 大阪梅田（阪急）駅 284m / カフェ・喫茶(カフェ)、和食（その他）            ,3.28,大阪府大阪市北区角田町3-25 EST FOODHALL ,"['https://tblg.k-img.com/restaurant/images/Rvw/177596/320x320_square_66ee0e92edc15b7dafcc86ff75a91dc6.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177596/320x320_square_f98e9cd4943f5c28e6a509e66c02e184.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159501/320x320_square_159501332.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/128195/150x150_square_128195248.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128195/150x150_square_128195253.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/128195/150x150_square_128195265.jpg']"
365,キョーワズコーヒー 大丸梅田店, 大阪梅田（阪神）駅 106m / カフェ・喫茶(コーヒー専門店)、カフェ・喫茶(喫茶店)            ,3.28,大阪府大阪市北区梅田3-1-1 B2F ,"['https://tblg.k-img.com/restaurant/images/Rvw/155102/320x320_square_155102932.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155102/320x320_square_155102934.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/151140/320x320_square_151140334.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/85980/150x150_square_85980209.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/85980/150x150_square_85980248.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/85980/150x150_square_85980249.jpg']"
366,ザ ボトル オーブン, 天満橋駅 479m / カフェ・喫茶(喫茶店)            ,3.28,大阪府大阪市中央区内淡路2-4-2 ,"['https://tblg.k-img.com/restaurant/images/Rvw/161555/320x320_square_161555060.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161555/320x320_square_161555063.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/107397/320x320_square_107397069.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/76915/150x150_square_76915805.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/76885/150x150_square_76885905.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/76885/150x150_square_76885914.jpg']"
367,アマレーナ×ラフラボカフェ 肥後橋店, 肥後橋駅 240m / カフェ・喫茶(カフェ)、洋食・欧風料理（その他）            ,3.28,大阪府大阪市西区江戸堀1-19-23 長崎ビル 105,"['https://tblg.k-img.com/restaurant/images/Rvw/152132/320x320_square_152132771.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/152132/320x320_square_152132773.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/141337/320x320_square_141337124.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/144506/150x150_square_144506692.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/144506/150x150_square_144506695.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/144506/150x150_square_144506700.jpg']"
368,IKEA レストラン＆カフェ 鶴浜店, 大阪市大正区 / カフェ・喫茶(カフェ)、西洋各国料理（その他）、洋食・欧風料理（その他）            ,3.27,大阪府大阪市大正区鶴町2-24-55 IKEA鶴浜 2F,"['https://tblg.k-img.com/restaurant/images/Rvw/61071/320x320_square_61071066.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/61071/320x320_square_61071078.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/61071/320x320_square_61071067.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/87366/150x150_square_87366015.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/87366/150x150_square_87366017.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/87366/150x150_square_87366021.jpg']"
369,カナリヤ 本店, 鶴橋駅 94m / カフェ・喫茶(カフェ)、パフェ、サンドイッチ            ,3.27,大阪府大阪市天王寺区下味原町2-9 ,"['https://tblg.k-img.com/restaurant/images/Rvw/9981/320x320_square_9981057.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/9981/320x320_square_9981062.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/118310/320x320_square_118310064.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/55258/150x150_square_55258415.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/55258/150x150_square_55258414.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/55258/150x150_square_55258413.jpg']"
370,心斎橋ミツヤ ホワイティ梅田店, 東梅田駅 70m / カフェ・喫茶(カフェ)            ,3.27,大阪府大阪市北区小松原町梅田地下街4-7 ,"['https://tblg.k-img.com/restaurant/images/Rvw/176765/320x320_square_747eac063532648403454f69e31e1363.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176765/320x320_square_95a1cb2ba4a6d5900126b0257e0b1769.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/146981/320x320_square_146981365.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/45900/150x150_square_45900130.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/45900/150x150_square_45900123.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/45900/150x150_square_45900132.jpg']"
371,スヌーピー・バックロット・カフェ, 桜島駅 510m / カフェ・喫茶(カフェ)、ハンバーガー、ケーキ            ,3.27,大阪府大阪市此花区桜島2-1-33 ユニバーサルスタジオジャパン,"['https://tblg.k-img.com/restaurant/images/Rvw/176497/320x320_square_d978c13607e49a4f6ac6f8dbb5a831c8.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/176497/320x320_square_d1a2fd93c7b08d41996c36cd9689cddb.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/163251/320x320_square_e0188b28cf339a5fb876738288c37f06.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/75627/150x150_square_75627593.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/60687/150x150_square_60687308.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/60687/150x150_square_60687302.jpg']"
372,純喫茶 スワン 阿倍野店, 天王寺駅前駅 86m / カフェ・喫茶(喫茶店)、パスタ、ケーキ            ,3.27,大阪府大阪市阿倍野区阿倍野筋1-3-19 ,"['https://tblg.k-img.com/restaurant/images/Rvw/173511/320x320_square_dc68a1ca5a7056cd9384e0f6878cd4fd.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173511/320x320_square_256049803d56194756fe8dc61dadbf6e.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173511/320x320_square_15c8230b95e097703f2f46e30d67616a.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/134885/150x150_square_134885715.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/134885/150x150_square_134885717.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/134885/150x150_square_134885714.jpg']"
373,喫茶　ビクター, 扇町駅 75m / カフェ・喫茶(喫茶店)、サンドイッチ、パフェ            ,3.27,大阪府大阪市北区天神橋4丁目8-29 ,"['https://tblg.k-img.com/restaurant/images/Rvw/167518/320x320_square_a9680d8136ce0ba9451589f21d44a565.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/166229/320x320_square_47404bf9f1279400ec295c212d1ca779.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161071/320x320_square_161071088.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/106763/150x150_square_106763410.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/106763/150x150_square_106763411.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/56066/150x150_square_56066031.jpg']"
374,あべのcontact, 天王寺駅前駅 107m / カフェ・喫茶(カフェ)、パンケーキ、イタリアン            ,3.27,大阪府大阪市阿倍野区阿倍野筋1-6-1 あべのキューズモール  Q-406,"['https://tblg.k-img.com/restaurant/images/Rvw/66202/320x320_square_66202054.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/66201/320x320_square_66201988.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/66201/320x320_square_66201133.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/161073/150x150_square_161073481.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161073/150x150_square_161073263.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/161073/150x150_square_161073339.jpg']"
375,フレッズカフェ 梅田店, 大阪梅田（阪急）駅 83m / カフェ・喫茶(カフェ)、パン、サンドイッチ            ,3.27,大阪府大阪市北区芝田1-1-2 阪急梅田改札外2Fコンコ-ス,"['https://tblg.k-img.com/restaurant/images/Rvw/177247/320x320_square_28f1657ed26f425cb73631e1f40282b1.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/177247/320x320_square_0c8c1767ecc3836d4066e5b44c095098.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/160702/320x320_square_160702763.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/28849/150x150_square_28849514.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/28849/150x150_square_28849518.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/28849/150x150_square_28849525.jpg']"
376,CAFE　COCODOCO, 中津（大阪メトロ）駅 256m / カフェ・喫茶(カフェ)            ,3.27,大阪府大阪市北区芝田1-15-15 ,"['https://tblg.k-img.com/restaurant/images/Rvw/37877/320x320_square_37877660.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167873/320x320_square_640f24ff4bb58436d2aeaadc9dcd30c4.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/167873/320x320_square_f2eedd309a346489e099e77df58e665f.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/49563/150x150_square_49563020.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49563/150x150_square_49563012.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/49563/150x150_square_49563002.jpg']"
377,カバリエ 難波店, 大阪難波駅 70m / カフェ・喫茶(カフェ)、バー            ,3.27,大阪府大阪市中央区難波4丁目1-15 近鉄難波ビル地下2F,"['https://tblg.k-img.com/restaurant/images/Rvw/174472/320x320_square_0cd2dad3bde799014fa12712ba4ce235.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/174472/320x320_square_0f8ffd90058e5b6fcd27a5ef90412bcc.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159295/320x320_square_159295548.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/127177/150x150_square_127177378.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127177/150x150_square_127177380.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/127177/150x150_square_127177383.jpg']"
378,ヴァンガード 京橋, 京橋駅 132m / カフェ・喫茶(カフェ・喫茶（その他）)、ダイニングバー、ハンバーガー            ,3.27,大阪府大阪市都島区東野田町2-3-28 ,"['https://tblg.k-img.com/restaurant/images/Rvw/159113/320x320_square_159113681.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159114/320x320_square_159114109.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/159314/320x320_square_159314269.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/34260/150x150_square_34260884.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34260/150x150_square_34260892.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/34260/150x150_square_34260899.jpg']"
379,カフェ クレバー アベノ地下センター店, 天王寺駅 217m / カフェ・喫茶(カフェ)、カフェ・喫茶(喫茶店)、パスタ            ,3.27,大阪府大阪市天王寺区堀越町アベノ地下街5号 ,"['https://tblg.k-img.com/restaurant/images/Rvw/173607/320x320_square_293d86d5908d7398647e3e52d280c1e9.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/173607/320x320_square_d8d0e41d00dbd101912896c09652762d.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/120879/320x320_square_120879485.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/156026/150x150_square_156026868.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156026/150x150_square_156026863.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/156007/150x150_square_156007369.jpg']"
380,コーヒーショップ マル屋, 西天下茶屋駅 109m / カフェ・喫茶(喫茶店)、カレーライス、うどん            ,3.27,大阪府大阪市西成区千本北2-1-33 ,"['https://tblg.k-img.com/restaurant/images/Rvw/175291/320x320_square_9d8b82d67e8bda429c9a4d83cb57b088.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175291/320x320_square_451e673e35c04589891f38c378e78710.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/175291/320x320_square_e968b4543d654866bab6b8783b0a044f.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/157853/150x150_square_157853236.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/157853/150x150_square_157853238.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/157853/150x150_square_157853240.jpg']"
381,菜園 梅田店, 梅田駅 119m / カフェ・喫茶(カフェ)、洋食、デリカテッセン            ,3.27,大阪府大阪市北区角田町8-47 阪急グランドビル  B1F,"['https://tblg.k-img.com/restaurant/images/Rvw/172832/320x320_square_71b126620225842c4b61ef6c9959da8e.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/172832/320x320_square_61aa9395963ea7c6829babe6a3aef2bf.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/155696/320x320_square_155696601.jpg']","['https://tblg.k-img.com/restaurant/images/Rvw/76846/150x150_square_76846876.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/76846/150x150_square_76846890.jpg', 'https://tblg.k-img.com/restaurant/images/Rvw/76846/150x150_square_76846865.jpg']"
